Width: 800
Height: 600
Format: Y16 (16-bit depth values in millimeters)

Depth Data (millimeters):
Format: row,column,depth_value

0,24,1632
0,25,1633
0,26,1634
0,27,1635
0,29,1637
0,30,1638
0,46,1628
0,47,1628
0,48,1630
0,49,1631
0,50,1632
0,51,1633
0,52,1635
0,53,1636
0,54,1638
0,55,1639
0,56,1638
0,57,1636
0,58,1635
0,59,1635
0,60,1636
0,61,1635
0,81,1632
0,84,1632
0,85,1632
0,86,1631
0,87,1631
0,88,1632
0,89,1632
0,90,1633
0,92,1631
0,93,1632
0,95,1631
0,96,1633
0,101,1633
0,102,1634
0,103,1634
0,104,1636
0,105,1634
0,106,1635
0,107,1634
0,124,1632
0,125,1632
0,126,1632
0,127,1632
0,128,1633
0,129,1632
0,130,1633
0,131,1634
0,132,1632
0,133,1630
0,134,1630
0,135,1632
0,136,1632
0,137,1633
0,138,1635
0,139,1635
0,140,1633
0,141,1634
0,142,1634
0,143,1634
0,144,1634
0,145,1636
0,146,1635
0,147,1633
0,148,1634
0,149,1634
0,150,1631
0,151,1630
0,152,1630
0,153,1630
0,154,1630
0,155,1629
0,159,1629
0,160,1628
0,161,1629
0,162,1631
0,163,1632
0,164,1632
0,165,1632
0,166,1635
0,167,1638
0,168,1644
0,169,1646
0,174,1653
0,175,1653
0,176,1653
0,177,1654
0,178,1655
0,179,1655
0,180,1655
0,181,1655
0,182,1654
0,183,1654
0,187,1657
0,188,1659
0,194,1657
0,195,1658
0,196,1660
0,197,1663
0,198,1663
0,199,1661
0,200,1662
0,201,1662
0,202,1662
0,203,1661
0,204,1663
0,205,1662
0,206,1662
0,207,1661
0,208,1661
0,209,1661
0,210,1658
0,211,1659
0,212,1660
0,213,1659
0,214,1659
0,215,1659
0,216,1659
0,218,1659
0,219,1657
0,248,1649
0,249,1649
0,250,1648
0,251,1648
0,252,1648
0,253,1648
0,254,1649
0,255,1646
0,256,1648
0,257,1645
0,258,1646
0,259,1647
0,260,1647
0,261,1647
0,262,1647
0,263,1647
0,264,1646
0,265,1646
0,266,1645
0,267,1645
0,268,1645
0,269,1645
0,270,1647
0,271,1647
0,272,1646
0,273,1647
0,274,1645
0,275,1646
0,276,1647
0,277,1647
0,278,1647
0,279,1647
0,280,1649
0,281,1648
0,282,1647
0,283,1647
0,284,1646
0,285,1647
0,286,1647
0,287,1648
0,288,1647
0,289,1648
0,290,1647
0,291,1648
0,292,1648
0,293,1648
0,294,1649
0,295,1649
0,309,1651
0,310,1649
0,311,1649
0,312,1648
0,313,1647
0,314,1647
0,315,1648
0,325,1646
0,327,1645
0,328,1646
0,329,1648
0,330,1648
0,331,1647
0,332,1647
0,335,1646
0,336,1647
0,337,1646
0,338,1646
0,339,1647
0,350,1663
0,351,1664
0,352,1664
0,353,1665
0,354,1665
0,355,1665
0,356,1663
0,357,1662
0,358,1663
0,359,1662
0,360,1661
0,361,1660
0,362,1660
0,363,1659
0,364,1660
0,365,1661
0,366,1660
0,367,1660
0,368,1660
0,369,1660
0,370,1659
0,371,1659
0,372,1659
0,373,1661
0,374,1662
0,375,1662
0,376,1662
0,377,1661
0,378,1661
0,379,1661
0,380,1662
0,381,1661
0,382,1662
0,383,1663
0,384,1662
0,385,1662
0,386,1661
0,387,1660
0,388,1659
0,389,1659
0,390,1659
0,391,1659
0,392,1660
0,393,1660
0,394,1658
0,395,1657
0,404,1662
0,405,1660
0,407,1659
0,408,1659
0,409,1659
0,410,1659
0,411,1659
0,412,1658
0,413,1658
0,414,1659
0,415,1658
0,416,1657
0,419,1657
0,420,1658
0,421,1659
0,422,1658
0,423,1657
0,424,1657
0,425,1657
0,426,1655
0,429,1656
0,430,1656
0,431,1656
0,432,1656
0,433,1656
0,434,1655
0,435,1656
0,440,1657
0,441,1657
0,442,1657
0,443,1658
0,444,1657
0,445,1658
0,446,1658
0,447,1656
0,448,1657
